iter	Passed	Remaining
409	4597	6615
410	4609	6605
411	4618	6590
412	4628	6577
413	4639	6566
414	4649	6553
415	4659	6541
416	4670	6529
417	4681	6518
418	4692	6507
419	4702	6494
420	4713	6482
421	4724	6470
422	4734	6458
423	4743	6444
424	4755	6433
425	4766	6422
426	4775	6408
427	4792	6404
428	4802	6392
429	4821	6390
430	4839	6389
431	4854	6382
432	4864	6370
433	4873	6355
434	4883	6343
435	4893	6330
436	4904	6318
437	4914	6305
438	4923	6292
439	4934	6279
440	4944	6267
441	4953	6253
442	4965	6242
443	4976	6231
444	4984	6216
445	4995	6204
446	5004	6191
447	5015	6179
448	5025	6166
449	5035	6154
450	5045	6142
451	5055	6129
452	5065	6116
453	5074	6102
454	5084	6090
455	5094	6078
456	5104	6065
457	5116	6054
458	5125	6040
459	5134	6027
460	5144	6015
461	5154	6002
462	5163	5988
463	5172	5975
464	5182	5962
465	5197	5956
466	5206	5942
467	5217	5931
468	5227	5918
469	5237	5905
470	5246	5892
471	5256	5879
472	5266	5867
473	5275	5854
474	5285	5841
475	5296	5830
476	5306	5817
477	5315	5804
478	5324	5791
479	5336	5780
480	5345	5767
481	5354	5754
482	5364	5742
483	5375	5730
484	5384	5717
485	5394	5705
486	5404	5692
487	5415	5681
488	5424	5668
489	5434	5656
490	5444	5644
491	5453	5630
492	5460	5615
493	5471	5604
494	5490	5601
495	5502	5591
496	5518	5585
497	5528	5572
498	5539	5561
499	5554	5554
500	5565	5543
501	5575	5531
502	5585	5518
503	5595	5507
504	5606	5495
505	5617	5483
506	5628	5473
507	5648	5471
508	5660	5460
509	5670	5448
510	5689	5444
511	5699	5432
512	5708	5418
513	5717	5406
514	5727	5393
515	5738	5382
516	5749	5370
517	5759	5359
518	5770	5348
519	5782	5337
520	5792	5325
521	5803	5314
522	5814	5303
523	5825	5291
524	5836	5280
525	5846	5268
526	5857	5257
527	5868	5246
528	5877	5233
529	5888	5221
530	5899	5210
531	5912	5201
532	5929	5195
533	5940	5183
534	5951	5172
535	5964	5163
536	5976	5152
537	5985	5139
538	5998	5130
539	6010	5119
540	6020	5107
541	6031	5096
542	6043	5086
543	6055	5075
544	6065	5064
545	6076	5052
546	6088	5042
547	6099	5030
548	6109	5018
549	6118	5006
550	6129	4994
551	6137	4981
552	6144	4966
553	6154	4955
554	6163	4942
555	6173	4929
556	6183	4917
557	6193	4905
558	6204	4894
559	6214	4882
560	6225	4872
561	6236	4860
562	6247	4849
563	6257	4837
564	6268	4826
565	6282	4817
566	6293	4806
567	6304	4795
568	6314	4782
569	6325	4771
570	6335	4759
571	6346	4748
572	6356	4736
573	6366	4724
574	6377	4713
575	6388	4702
576	6397	4689
577	6407	4678
578	6417	4666
579	6430	4656
580	6441	4645
581	6454	4636
582	6464	4623
583	6474	4611
584	6486	4601
585	6496	4589
586	6507	4578
587	6517	4566
588	6529	4556
589	6539	4544
590	6550	4533
591	6560	4521
592	6570	4509
593	6579	4497
594	6590	4486
595	6601	4474
596	6611	4463
597	6621	4451
598	6631	4439
599	6641	4427
600	6651	4415
601	6661	4404
602	6673	4393
603	6683	4382
604	6700	4374
605	6711	4363
606	6723	4353
607	6736	4343
608	6748	4332
609	6759	4321
610	6770	4310
611	6782	4299
612	6791	4287
613	6800	4275
614	6810	4263
615	6821	4252
616	6830	4239
617	6842	4229
618	6852	4217
619	6857	4203
620	6868	4191
621	6879	4180
622	6891	4170
623	6894	4154
624	6906	4143
625	6916	4132
626	6925	4120
627	6936	4108
628	6948	4098
629	6957	4086
630	6968	4075
631	6976	4062
632	6987	4051
633	7003	4042
634	7013	4031
635	7026	4021
636	7036	4010
637	7057	4004
638	7067	3992
639	7079	3982
640	7093	3972
641	7104	3961
642	7115	3950
643	7124	3938
644	7135	3927
645	7145	3915
646	7155	3903
647	7163	3891
648	7172	3879
649	7182	3867
650	7190	3855
651	7199	3842
652	7210	3831
653	7219	3819
654	7227	3806
655	7237	3795
656	7240	3779
657	7250	3768
658	7260	3756
659	7270	3745
660	7280	3733
661	7291	3722
662	7301	3711
663	7311	3699
664	7322	3688
665	7330	3676
666	7339	3664
667	7350	3653
668	7358	3640
669	7371	3630
670	7382	3619
671	7392	3608
672	7403	3597
673	7413	3585
674	7422	3573
675	7431	3561
676	7440	3550
677	7451	3538
678	7461	3527
679	7470	3515
680	7481	3504
681	7491	3493
682	7499	3480
683	7504	3467
684	7517	3456
685	7526	3445
686	7537	3433
687	7546	3422
688	7556	3410
689	7567	3399
690	7579	3389
691	7596	3381
692	7608	3370
693	7624	3361
694	7635	3350
695	7646	3339
696	7658	3329
697	7669	3318
698	7680	3307
699	7691	3296
700	7703	3285
701	7722	3278
702	7736	3268
703	7748	3258
704	7759	3246
705	7769	3235
706	7784	3225
707	7797	3215
708	7801	3202
709	7813	3191
710	7823	3179
711	7833	3168
712	7844	3157
713	7859	3148
714	7870	3137
715	7890	3129
716	7903	3119
717	7915	3108
718	7926	3097
719	7938	3087
720	7953	3077
721	7964	3066
722	7976	3055
723	7988	3045
724	7994	3032
725	8007	3021
726	8017	3010
727	8031	3000
728	8044	2990
729	8056	2979
730	8067	2968
731	8079	2957
732	8091	2947
733	8102	2936
734	8115	2925
735	8128	2915
736	8139	2904
737	8150	2893
738	8164	2883
739	8173	2871
740	8184	2860
741	8194	2849
742	8205	2838
743	8216	2827
744	8227	2816
745	8238	2804
746	8248	2793
747	8259	2782
748	8270	2771
749	8281	2760
750	8294	2750
751	8304	2738
752	8318	2728
753	8329	2717
754	8340	2706
755	8348	2694
756	8358	2682
757	8368	2671
758	8381	2661
759	8387	2648
760	8398	2637
761	8408	2626
762	8417	2614
763	8427	2603
764	8438	2592
765	8449	2581
766	8462	2570
767	8475	2560
768	8485	2548
769	8495	2537
770	8505	2526
771	8516	2515
772	8527	2504
773	8538	2493
774	8557	2484
775	8568	2473
776	8578	2462
777	8589	2451
778	8598	2439
779	8608	2427
780	8618	2416
781	8628	2405
782	8637	2393
783	8646	2382
784	8656	2370
785	8667	2359
786	8677	2348
787	8685	2336
788	8695	2325
789	8705	2314
790	8714	2302
791	8723	2290
792	8731	2279
793	8741	2267
