iter	MultiClass
0	1.027881016
1	0.9686093823
2	0.9269293982
3	0.8854420649
4	0.850750274
5	0.8203842027
6	0.7951151184
7	0.7725065941
8	0.7554243607
9	0.7390775309
10	0.7238305158
11	0.7109632757
12	0.6994811575
13	0.6907666968
14	0.6817378562
15	0.6736890957
16	0.6649186239
17	0.6562301004
18	0.6496975806
19	0.6430948611
20	0.6380949521
21	0.6327206306
22	0.6283636108
23	0.6233022877
24	0.6197296747
25	0.617037723
26	0.6140719784
27	0.6103709249
28	0.6074132514
29	0.6042996055
30	0.6010359513
31	0.6005736086
32	0.5995576396
33	0.5966094135
34	0.5931949766
35	0.5912263445
36	0.5897261098
37	0.5879364319
38	0.5863858856
39	0.5844008221
40	0.5831616429
41	0.5811240086
42	0.5786445755
43	0.5772738771
44	0.5759133791
45	0.5744732815
46	0.5732415885
47	0.5713982184
48	0.5704869709
49	0.5695359737
50	0.5685561099
51	0.5673136649
52	0.565688843
53	0.5640677684
54	0.5627562016
55	0.5614072348
56	0.5595226292
57	0.5577078923
58	0.5561592041
59	0.554956287
60	0.5538733876
61	0.5528332869
62	0.5516441199
63	0.5505697076
64	0.5495534671
65	0.548273873
66	0.5475872888
67	0.5475295895
68	0.5461382779
69	0.5448505086
70	0.5439108159
71	0.5433917041
72	0.5424776306
73	0.5417080959
74	0.5405147748
75	0.5393836361
76	0.5385220847
77	0.5374130918
78	0.5362139872
79	0.5352999693
80	0.5344389669
81	0.5335818999
82	0.5326597576
83	0.5322228286
84	0.531454493
85	0.5302781703
86	0.5292994468
87	0.5286543626
88	0.5279129944
89	0.5273784377
90	0.5266338462
91	0.5257336058
92	0.5253239864
93	0.5244434461
94	0.5235920764
95	0.5225437113
96	0.5217611975
97	0.5213069245
98	0.5208111561
99	0.5199160154
100	0.5191324078
101	0.5187563518
102	0.5179426742
103	0.5175262378
104	0.516241596
105	0.5155772962
106	0.5149714437
107	0.5139276485
108	0.5134088085
109	0.5123774374
110	0.5117896515
111	0.5113534162
112	0.5105932986
113	0.5097045928
114	0.509208531
115	0.5086155279
116	0.5076638892
117	0.5069898968
118	0.5063689749
119	0.5057559161
120	0.5051807572
121	0.5047610329
122	0.5040749627
123	0.5029992987
124	0.5026722307
125	0.5018747655
126	0.5009987582
127	0.5006681211
128	0.49993007
129	0.4991887489
130	0.4986365232
131	0.4979944672
132	0.4973770363
133	0.4968264262
134	0.4965487746
135	0.4958360233
136	0.4952008764
137	0.4946936833
138	0.4939115276
139	0.4934461673
140	0.4928783374
141	0.4926891807
142	0.4924375077
143	0.4916117527
144	0.4911301804
145	0.4907265413
146	0.490132322
147	0.4897544513
148	0.4890595794
149	0.4884417432
150	0.4879685196
151	0.4875964122
152	0.4871667212
153	0.4862283303
154	0.4858353722
155	0.4850462679
156	0.4844684987
157	0.4837579084
158	0.4833000551
159	0.4827887088
160	0.4825533928
161	0.4819701324
162	0.4815336092
163	0.4810718794
164	0.4806646675
165	0.4799963091
166	0.4796659739
167	0.4791877296
168	0.4788207836
169	0.4782317728
170	0.4777795037
171	0.477446096
172	0.4770180704
173	0.4763349134
174	0.4761619148
175	0.4756798201
176	0.4754430391
177	0.4752787012
178	0.474816269
179	0.4743790563
180	0.4739774174
181	0.4734843316
182	0.4728628875
183	0.472403282
184	0.4717704194
185	0.4713343392
186	0.4709975796
187	0.4706887147
188	0.4703216559
189	0.4695063811
190	0.4691163159
191	0.468593361
192	0.4680462389
193	0.4677847508
194	0.4673870505
195	0.4669574503
196	0.4665470751
197	0.4661130669
198	0.4656179511
199	0.4652965715
200	0.4648658198
201	0.4645630016
202	0.464290524
203	0.4639105574
204	0.4635896886
205	0.4632602967
206	0.4627387793
207	0.4624407602
208	0.4620051388
209	0.4615996177
210	0.4613470942
211	0.4609168801
212	0.4605872328
213	0.4603491592
214	0.4599784739
215	0.459679254
216	0.4592565997
217	0.4589102503
218	0.4585805518
219	0.4585189891
220	0.457969828
221	0.4576653189
222	0.4574594953
223	0.4571135589
224	0.4566504947
225	0.4564616686
226	0.4559881156
227	0.4558312372
228	0.4555834106
229	0.4553810326
230	0.4550968821
231	0.4547072963
232	0.4540958535
233	0.4538712972
234	0.4535986228
235	0.4533028647
236	0.4530078262
237	0.4525935165
238	0.4523325624
239	0.4519711964
240	0.4516942618
241	0.4514354096
242	0.4509572517
243	0.4506931209
244	0.4503153902
245	0.4498880485
246	0.4495795046
247	0.4492097156
248	0.448953138
249	0.4485908468
250	0.4483534681
251	0.4480631967
252	0.4475438277
253	0.4472453685
254	0.4470501551
255	0.4467747239
256	0.4463791388
257	0.4460185483
258	0.4458207756
259	0.4456727263
260	0.4452802615
261	0.4449096298
262	0.4445142041
263	0.4442986472
264	0.4438848273
265	0.4436937422
266	0.4435834578
267	0.4432691401
268	0.4428705497
269	0.4424558239
270	0.4422946125
271	0.4418622828
272	0.4415479928
273	0.4413457194
274	0.4409942783
275	0.4406392695
276	0.4403384118
