iter	Passed	Remaining
410	3911	5605
411	3920	5595
412	3930	5586
413	3939	5576
414	3947	5564
415	3955	5553
416	3966	5545
417	3975	5535
418	3983	5524
419	3994	5516
420	4002	5504
421	4011	5494
422	4020	5484
423	4036	5483
424	4045	5472
425	4053	5462
426	4063	5453
427	4073	5443
428	4083	5435
429	4093	5426
430	4103	5417
431	4112	5407
432	4121	5396
433	4129	5384
434	4136	5373
435	4146	5363
436	4154	5352
437	4164	5343
438	4173	5333
439	4184	5325
440	4194	5316
441	4203	5306
442	4213	5297
443	4222	5287
444	4231	5277
445	4240	5267
446	4249	5256
447	4257	5245
448	4265	5234
449	4274	5224
450	4283	5214
451	4291	5203
452	4301	5193
453	4309	5183
454	4317	5171
455	4326	5161
456	4336	5152
457	4346	5143
458	4357	5135
459	4366	5125
460	4375	5116
461	4385	5106
462	4395	5097
463	4403	5087
464	4416	5081
465	4425	5071
466	4434	5061
467	4443	5051
468	4453	5042
469	4462	5032
470	4471	5022
471	4482	5014
472	4490	5003
473	4500	4994
474	4509	4984
475	4517	4973
476	4527	4964
477	4536	4954
478	4546	4945
479	4556	4936
480	4565	4926
481	4574	4916
482	4584	4907
483	4592	4895
484	4600	4885
485	4608	4873
486	4618	4864
487	4627	4854
488	4636	4845
489	4647	4837
490	4656	4827
491	4665	4817
492	4675	4808
493	4682	4796
494	4691	4786
495	4699	4775
496	4709	4766
497	4718	4756
498	4728	4747
499	4737	4737
500	4746	4727
501	4755	4717
502	4764	4707
503	4773	4698
504	4783	4688
505	4792	4678
506	4802	4669
507	4811	4659
508	4821	4650
509	4830	4641
510	4839	4631
511	4849	4622
512	4870	4623
513	4881	4615
514	4889	4604
515	4898	4594
516	4907	4584
517	4918	4576
518	4928	4567
519	4939	4559
520	4952	4553
521	4961	4543
522	4971	4534
523	4981	4525
524	5003	4527
525	5017	4521
526	5027	4511
527	5036	4501
528	5044	4491
529	5053	4481
530	5063	4472
531	5079	4468
532	5090	4459
533	5101	4451
534	5111	4442
535	5119	4432
536	5129	4422
537	5139	4413
538	5148	4403
539	5156	4392
540	5166	4383
541	5174	4372
542	5184	4363
543	5193	4353
544	5203	4344
545	5213	4334
546	5221	4324
547	5230	4314
548	5238	4303
549	5249	4295
550	5258	4284
551	5267	4275
552	5273	4262
553	5282	4252
554	5291	4242
555	5298	4231
556	5309	4222
557	5318	4212
558	5327	4202
559	5337	4193
560	5346	4183
561	5356	4174
562	5365	4164
563	5375	4155
564	5384	4145
565	5392	4134
566	5403	4126
567	5415	4119
568	5426	4110
569	5436	4101
570	5447	4093
571	5458	4084
572	5468	4075
573	5479	4066
574	5492	4059
575	5505	4052
576	5515	4043
577	5526	4034
578	5535	4024
579	5544	4014
580	5553	4005
581	5564	3996
582	5573	3986
583	5583	3977
584	5593	3968
585	5606	3960
586	5617	3952
587	5627	3942
588	5636	3933
589	5648	3925
590	5658	3916
591	5669	3907
592	5681	3899
593	5690	3889
594	5700	3880
595	5709	3870
596	5725	3865
597	5736	3856
598	5747	3847
599	5756	3837
600	5767	3829
601	5778	3820
602	5787	3810
603	5796	3800
604	5807	3791
605	5822	3785
606	5832	3776
607	5841	3766
608	5851	3756
609	5860	3746
610	5869	3737
611	5880	3728
612	5896	3722
613	5906	3713
614	5915	3702
615	5927	3695
616	5937	3685
617	5946	3675
618	5957	3666
619	5967	3657
620	5976	3647
621	5986	3638
622	5995	3627
623	6006	3619
624	6017	3610
625	6027	3601
626	6037	3591
627	6046	3581
628	6056	3572
629	6066	3562
630	6077	3553
631	6086	3543
632	6095	3533
633	6105	3524
634	6115	3515
635	6125	3505
636	6134	3495
637	6147	3487
638	6155	3477
639	6165	3467
640	6176	3459
641	6185	3449
642	6193	3438
643	6202	3428
644	6211	3418
645	6221	3409
646	6232	3400
647	6242	3391
648	6251	3380
649	6275	3379
650	6284	3369
651	6294	3359
652	6303	3349
653	6313	3340
654	6329	3333
655	6339	3324
656	6341	3310
657	6350	3300
658	6360	3291
659	6369	3281
660	6378	3271
661	6388	3261
662	6396	3251
663	6406	3242
664	6416	3232
665	6425	3222
666	6434	3212
667	6448	3205
668	6458	3195
669	6472	3188
670	6482	3178
671	6491	3168
672	6502	3159
673	6513	3150
674	6523	3141
675	6533	3131
676	6543	3121
677	6557	3114
678	6567	3104
679	6578	3095
680	6589	3086
681	6599	3077
682	6609	3067
683	6613	3055
684	6623	3045
685	6642	3040
686	6654	3031
687	6663	3021
688	6675	3013
689	6684	3003
690	6693	2993
691	6702	2983
692	6713	2974
693	6725	2965
694	6737	2956
695	6746	2946
696	6756	2937
697	6766	2927
698	6776	2918
699	6787	2908
700	6796	2898
701	6812	2891
702	6821	2881
703	6830	2871
704	6839	2861
705	6850	2852
706	6860	2843
707	6870	2833
708	6873	2821
709	6883	2811
710	6893	2801
711	6902	2792
712	6913	2782
713	6927	2774
714	6938	2765
715	6946	2755
716	6958	2746
717	6970	2737
718	6981	2728
719	6991	2718
720	7003	2709
721	7011	2699
722	7020	2689
723	7031	2680
724	7038	2669
725	7047	2659
726	7060	2651
727	7074	2643
728	7083	2633
729	7093	2623
730	7103	2613
731	7114	2604
732	7124	2595
733	7134	2585
734	7144	2575
735	7153	2565
736	7163	2556
737	7172	2546
738	7180	2536
739	7190	2526
740	7201	2517
741	7211	2507
742	7220	2497
743	7229	2487
744	7240	2478
745	7248	2468
746	7259	2458
747	7267	2448
748	7276	2438
749	7288	2429
750	7300	2420
751	7309	2410
752	7319	2400
753	7329	2391
754	7339	2381
755	7350	2372
756	7358	2361
757	7367	2352
758	7378	2342
759	7382	2331
760	7391	2321
761	7400	2311
762	7413	2302
763	7423	2293
764	7433	2283
765	7447	2275
766	7457	2265
767	7468	2255
768	7475	2245
769	7483	2235
770	7492	2225
771	7502	2215
772	7510	2205
773	7522	2196
774	7532	2186
775	7546	2178
776	7557	2169
777	7568	2159
778	7577	2149
779	7586	2139
780	7594	2129
781	7605	2120
782	7615	2110
783	7624	2100
784	7633	2090
785	7642	2080
786	7655	2072
787	7670	2063
788	7679	2053
789	7689	2044
790	7699	2034
791	7708	2024
792	7719	2015
793	7727	2004
794	7737	1995
795	7747	1985
796	7758	1976
797	7772	1967
798	7782	1957
799	7793	1948
800	7803	1938
801	7813	1929
802	7825	1919
803	7836	1910
804	7846	1900
805	7857	1891
806	7867	1881
807	7877	1871
808	7880	1860
809	7891	1851
810	7901	1841
811	7911	1831
812	7923	1822
813	7932	1812
814	7941	1802
815	7951	1793
816	7962	1783
817	7973	1774
818	7984	1764
819	7997	1755
820	8008	1746
821	8019	1736
822	8028	1726
